2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,60,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,,60,,,,,,,,,,,,,,,2
2,,,,61,,61,21,61,21,61,,,60,,,,,,,,,,,,,,2
2,,,,,,,,,,,,,,60,,,,,,,,,,,,,2
2,,,,61,,61,21,61,21,61,,,60,,,,,,,,,,,,,,2
2,,,,,,,,,,,,60,,,,,2,2,,,,,21,21,21,21,2
2,,,,,,,,,,,60,,,,,,,2,2,,,,,,,,2
2,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,2
2,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,2
2,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,2
2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,2
2,20,,30,,,,30,,,,30,,,,,,,2,2,2,2,2,2,2,,99,2
2,2,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2
